Station Name (LEA),State,Records
DUPAGE COUNTY SHERIFF OFFICE,IL,47
DUPO POLICE DEPT,IL,1
EAST ALTON POLICE DEPT,IL,9
EAST CARONDELET POLICE DEPT,IL,24
EAST DUBUQUE POLICE DEPT,IL,2
EAST GALESBURG POLICE DEPT,IL,4
EAST HAZEL CREST POLICE DEPT,IL,5
EAST MOLINE POLICE DEPT,IL,8
EAST PEORIA POLICE DEPT,IL,11
EASTERN IL UNIVERSITY PD HI_ED,IL,4
EASTON POLICE DEPT,IL,2
EDGAR COUNTY SHERIFF DEPT,IL,6
EDINBURG POLICE DEPARTMENT,IL,7
EDWARDSVILLE POLICE DEPT,IL,21
EFFINGHAM COUNTY SHERIFF DEPT,IL,26
ELBURN POLICE DEPT,IL,10
ELGIN POLICE DEPT,IL,18
ELIZABETH POLICE DEPT,IL,5
ELIZABETHTOWN POLICE DEPT,IL,2
ENERGY POLICE DEPT,IL,23
EVANSTON POLICE DEPT,IL,20
EVANSVILLE POLICE DEPT,IL,3
EWING POLICE DEPT,IL,9
FAIRFIELD POLICE DEPT,IL,9
FAIRMONT CITY POLICE DEPT,IL,24
FAIRVIEW HEIGHTS POLICE,IL,8
FARMER CITY POLICE DEPT,IL,14
FARMINGTON POLICE DEPT,IL,7
FISHER POLICE DEPT,IL,1
FLORA POLICE DEPARTMENT,IL,14
FONDULAC POLICE DEPT,IL,7
FORD COUNTY  SHERIFF OFFICE,IL,5
FOREST PARK POLICE DEPT,IL,227
FOREST PRESERVE DISTRICT WILL CO,IL,4
FOX LAKE POLICE DEPT,IL,37
FOX RIVER GROVE POLICE,IL,4
FRANKFORT POLICE DEPT,IL,6
FREEBURG POLICE DEPARTMENT,IL,14
FREEMAN SPUR POLICE DEPARTMENT,IL,4
FREEPORT POLICE DEPT,IL,21
FULTON COUNTY SHERIFF OFFICE,IL,19
GENESEO POLICE DEPT,IL,2
GENEVA POLICE DEPT,IL,1
GERMANTOWN POLICE DEPT,IL,1
GILBERTS POLICE DEPT,IL,5
GIRARD POLICE DEPT,IL,6
GLEN CARBON POLICE DEPT,IL,24
GLEN ELLYN POLICE DEPT,IL,6
GLENCOE POLICE DEPT,IL,29
GOLCONDA POLICE DEPT,IL,45
GOREVILLE POLICE DEPT,IL,6
GRAND RIDGE POLICE DEPT,IL,3
GRANITE CITY POLICE DEPT,IL,28
GRANT PARK POLICE DEPT,IL,3
GRANTFORK POLICE DEPT,IL,52
GREEN VALLEY POLICE DEPT,IL,9
GREENVIEW POLICE DEPT,IL,21
GREENVILLE POLICE DEPT,IL,8
HAMEL POLICE DEPT,IL,5
HAMILTON COUNTY SHERIFF DEPT,IL,10
HANCOCK COUNTY SHERIFF DEPT,IL,3
HANOVER PARK POLICE DEPT,IL,6
HANOVER POLICE DEPT,IL,3
HARDIN COUNTY SHERIFF OFFICE,IL,15
HARRISBURG POLICE DEPT,IL,5
HARVEY POLICE DEPT,IL,5
HAWTHORN WOODS POLICE DEPT,IL,2
HENDERSON COUNTY SHERIFF DEPT,IL,2
HENRY POLICE DEPT,IL,11
HERRIN POLICE DEPT,IL,9
HEYWORTH POLICE DEPT,IL,4
HIGHLAND POLICE DEPT,IL,4
HILLSBORO POLICE DEPT,IL,2
HILLSIDE POLICE DEPT,IL,8
HINCKLEY POLICE DEPT,IL,1
HINSDALE POLICE DEPT,IL,6
HOMEWOOD POLICE DEPT,IL,7
HUTSONVILLE POLICE DEPARTMENT,IL,4
IL DNR LAW ENFORCEMENT,IL,174
IL MULTI-COUNTY NARCOTIC GROUP,IL,2
IL SECRETARY OF STATE POLICE,IL,2
IL STATE POLICE DEPT,IL,375
IL STATE UNIVERSITY PD HI_ED,IL,4
IRVING POLICE DEPT,IL,1
ISLAND LAKE POLICE DEPT,IL,36
JACKSONVILLE POLICE DEPT,IL,2
JEFFERSON COUNTY SHERIFF OFFICE,IL,23
JEROME POLICE DEPT,IL,6
JO DAVIESS COUNTY SHERIFF DEPT,IL,20
JOHNSBURG POLICE DEPT,IL,35
JOHNSON COUNTY SHERIFF DEPARTMENT,IL,50
JOLIET POLICE DEPT,IL,16
JUSTICE POLICE DEPT,IL,1
KANE COUNTY FOREST PRESERVE,IL,2
KANE COUNTY SHERIFFS OFFICE,IL,166
KANKAKEE COUNTY SHERIFF DEPT,IL,18
KARNAK POLICE DEPT,IL,22
KENDALL COUNTY SHERIFF DEPT,IL,42
KEWANEE POLICE DEPT,IL,4
KILDEER POLICE DEPT,IL,4
KINCAID POLICE DEPT,IL,4
KINMUNDY POLICE DEPT,IL,2
KIRKLAND POLICE DEPT,IL,11
KNOX COUNTY SHERIFF DEPT,IL,333
LACON POLICE,IL,12
LAKE COUNTY SHERIFF DEPT,IL,30
LAKE IN THE HILLS POLICE DEPT,IL,13
LAKE VILLA POLICE DEPT,IL,35
LAKEMOOR POLICE DEPT,IL,16
LANARK POLICE DEPT,IL,86
LASALLE COUNTY SHERIFF DEPT,IL,20
LASALLE POLICE DEPT,IL,7
LAWRENCE COUNTY SHERIFF DEPT,IL,12
LAWRENCEVILLE POLICE DEPT,IL,4
LEBANON POLICE DEPT,IL,18
LELAND GROVE POLICE DEPT,IL,6
LELAND POLICE DEPARTMENT,IL,4
LEMONT POLICE DEPT,IL,6
LEROY POLICE DEPT,IL,2
LEWISTOWN POLICE DEPT,IL,4
LIBERTYVILLE POLICE DEPT,IL,8
LINCOLN LAND COMM  COLLEGE PD HI_ED,IL,2
LINCOLN POLICE DEPT,IL,26
LISLE POLICE DEPT,IL,9
LITCHFIELD POLICE DEPT,IL,13
LOAMI POLICE DEPT,IL,24
LOCKPORT POLICE DEPT,IL,9
LOGAN COUNTY SHERIFF DEPT,IL,10
LOMBARD POLICE DEPT,IL,14
LONDON MILLS POLICE DEPT,IL,16
LOSTANT POLICE DEPT,IL,61
LYONS POLICE DEPT,IL,10
MACOMB  POLICE DEPT,IL,5
MACOUPIN COUNTY SHERIFF,IL,6
MADISON POLICE DEPT,IL,4
MANITO POLICE DEPT,IL,1
MANTENO POLICE DEPT,IL,13
MAPLE PARK POLICE DEPT,IL,7
MARENGO POLICE DEPT,IL,13
MARINE POLICE DEPT,IL,16
MARION COUNTY SHERIFF DEPT,IL,26
MARION POLICE DEPT,IL,12
MARISSA POLICE DEPT,IL,1
MAROA POLICE DEPT,IL,2
MARSEILLES POLICE DEPT,IL,27
MARSHALL COUNTY SHERIFF DEPT,IL,7
MASCOUTAH POLICE DEPT,IL,12
MASON COUNTY SHERIFF DEPT,IL,9
MASSAC COUNTY  SHERIFF DEPT,IL,13
MATTOON POLICE DEPT,IL,8
MAYWOOD POLICE DEPT,IL,10
MCCULLOM LAKE POLICE DEPT,IL,12
MCHENRY COUNTY SHERIFF DEPT,IL,83
MCHENRY POLICE DEPT,IL,46
MCLEANSBORO POLICE DEPARTMENT,IL,13
MELROSE PARK POLICE DEPT,IL,5
MENARD COUNTY SHERIFF DEPT,IL,17
MENDOTA POLICE DEPT,IL,2
MEREDOSIA POLICE DEPT,IL,3
METROPOLIS POLICE DEPT,IL,141
MILAN POLICE DEPT,IL,6
MILLEDGEVILLE POLICE DEPT,IL,1
MILLSTADT POLICE DEPT,IL,33
MINIER POLICE DEPARTMENT,IL,3
MINOOKA POLICE DEPT,IL,14
MOLINE POLICE DEPT,IL,16
MOMENCE POLICE DEPT,IL,7
MONEE POLICE DEPT,IL,4
MONROE COUNTY SHERIFF DEPT,IL,20
MONTGOMERY COUNTY SHERIFF DEPT,IL,21
MONTICELLO POLICE DEPARTMENT,IL,17
MORAINE VALLEY POLICE DEPT.,IL,4
MORGAN COUNTY SHERIFF DEPT,IL,11
MORRISONVILLE POLICE,IL,8
MOULTRIE COUNTY SHERIFF DEPT,IL,1
MOUND CITY POLICE DEPARTMENT,IL,56
MOUNDS POLICE DEPT,IL,31
MOUNT PROSPECT POLICE DEPT,IL,10
MOUNT ZION POLICE DEPT,IL,4
MT OLIVE POLICE DEPT,IL,2
MURPHYSBORO POLICE DEPT,IL,5
MURRAYVILLE POLICE DEPT,IL,6
NAPERVILLE POLICE DEPT,IL,11
NAUVOO POLICE DEPT,IL,5
NEW ATHENS POLICE DEPT,IL,10
NEW BADEN POLICE DEPT,IL,15
NEW BERLIN POLICE DEPT,IL,18
NEW LENOX POLICE DEPT,IL,6
NILES POLICE DEPARTMENT,IL,108
NOKOMIS POLICE DEPT,IL,10
NORTH AURORA POLICE DEPT,IL,18
NORTH CHICAGO POLICE DEPT,IL,7
NORTH PEKIN POLICE DEPT,IL,24
OAK FOREST POLICE DEPT,IL,5
OAK LAWN POLICE DEPARTMENT,IL,24
OAKBROOK TERRACE POLICE DEPT,IL,8
OAKWOOD HILLS POLICE DEPT,IL,2
OBLONG POLICE DEPT,IL,3
ODIN POLICE DEPT,IL,8
OFALLON POLICE DEPARTMENT,IL,17
OGLE COUNTY SHERIFFS OFFICE,IL,21
OGLESBY POLICE DEPT,IL,13
OLYMPIA FIELDS POLICE DEPT,IL,5
OREGON POLICE DEPT,IL,2
ORLAND PARK POLICE DEPT,IL,19
OSWEGO POLICE DEPARTMENT,IL,18
OTTAWA POLICE DEPT,IL,25
PALATINE POLICE DEPT,IL,7
PALMYRA POLICE DEPT,IL,7
PARK CITY POLICE DEPT,IL,2
PARKLAND COLLEGE POLICE DEPT HI_ED,IL,3
PAWNEE POLICE DEPT,IL,7
PAXTON POLICE DEPT,IL,1
PECATONICA POLICE DEPT,IL,5
PEKIN PARK DISTRICT POLICE DEPT,IL,23
PEKIN POLICE DEPT,IL,21
PEORIA COUNTY SHERIFF DEPT,IL,1
PEORIA POLICE DEPARTMENT,IL,6
PEOTONE POLICE DEPT,IL,6
PERCY POLICE DEPT,IL,3
PERRY COUNTY SHERIFF DEPT,IL,2
PINGREE GROVE POLICE DEPT,IL,7
PLAINFIELD POLICE DEPT,IL,88
PLANO POLICE DEPT,IL,4
PLEASANT HILL POLICE DEPT,IL,6
PLEASANT PLAINS POLICE DEPT,IL,1
POCAHONTAS POLICE DEPT,IL,1
POLO POLICE DEPT,IL,6
PONTOON BEACH POLICE,IL,13
POPE COUNTY SHERIFF DEPT,IL,12
POSEN POLICE DEPT,IL,11
PRINCETON POLICE DEPT,IL,81
PROSPECT HEIGHT POLICE DEPT,IL,18
PULASKI COUNTY SHERIFF DEPT,IL,24
QUINCY ILLINOIS POLICE DEPARTMENT,IL,1
RANDOLPH COUNTY SHERIFF DEPT,IL,6
RICHMOND POLICE DEPT,IL,8
RIVER FOREST POLICE DEPT,IL,8
RIVER GROVE POLICE DEPT,IL,4
RIVERDALE POLICE DEPT.,IL,11
RIVERTON POLICE DEPARTMENT,IL,10
RIVERWOODS POLICE DEPT,IL,2
ROBINSON POLICE DEPT,IL,13
ROCHELLE POLICE DEPT,IL,4
ROCHESTER POLICE DEPT,IL,3
ROCK FALLS POLICE DEPT,IL,4
ROCK ISLAND COUNTY SHERIFF DEPT,IL,12
ROCK ISLAND CTY METRO AIRPORT AUTH,IL,10
ROCK ISLAND POLICE DEPT,IL,17
ROCKFORD FIRE DEPT ARSON INVEST,IL,4
ROCKFORD POLICE DEPT,IL,11
ROLLING MEADOWS POLICE DEPT,IL,1
ROMEOVILLE POLICE DEPT,IL,13
ROODHOUSE POLICE DEPT,IL,1
ROSELLE POLICE DEPT,IL,7
ROUND LAKE BEACH POLICE DEPT,IL,8
ROUND LAKE HEIGHTS POLICE DEPT,IL,7
ROUND LAKE PARK DISTRICT,IL,4
ROUND LAKE PARK POLICE DEPT,IL,88
ROXANA POLICE DEPT,IL,4
SAINT ANNE POLICE DEPT,IL,13
SAINT CLAIR COUNTY SHERIFF DEPT,IL,93
SAINT ELMO POLICE DEPT,IL,3
SALINE COUNTY SHERIFF OFFICE,IL,4
SAN JOSE POLICE DEPARTMENT,IL,3
SANGAMON COUNTY SHERIFF OFFICE,IL,52
SAUK VILLAGE POLICE DEPT,IL,13
SHANNON POLICE DEPT,IL,21
SHAWNEETOWN POLICE DEPT,IL,1
SHELBYVILLE POLICE DEPT,IL,4
SHERIDAN POLICE DEPT,IL,1
SHERMAN POLICE DEPT,IL,10
SHILOH POLICE DEPT,IL,5
SLEEPY HOLLOW POLICE DEPT,IL,8
SMITHTON POLICE DEPT,IL,5
SOMONAUK POLICE DEPT,IL,13
SOUTH JACKSONVILLE POLICE,IL,14
SOUTH PEKIN POLICE DEPT,IL,16
SPAULDING POLICE DEPT,IL,19
SPRING GROVE POLICE DEPT,IL,40
SPRINGFIELD PARK DISTRICT POLICE,IL,8
SPRINGFIELD POLICE DEPT,IL,59
STANFORD POLICE DEPT,IL,1
STARK COUNTY SHERIFF DEPT,IL,9
STEELEVILLE POLICE DEPT,IL,10
STEPHENSON COUNTY SHERIFF DEPT,IL,34
STERLING POLICE DEPT,IL,6
STICKNEY POLICE DEPT,IL,3
STOCKTON POLICE DEPT,IL,3
STONE PARK POLICE DEPT,IL,6
STONINGTON POLICE DEPT,IL,3
STREATOR POLICE DEPT,IL,74
STRONGHURST POLICE DEPT,IL,5
SUGAR GROVE POLICE DEPT,IL,3
SULLIVAN POLICE DEPT,IL,2
SUMMIT POLICE DEPT,IL,25
SWANSEA POLICE DEPT,IL,2
TAMPICO POLICE DEPT,IL,2
TAYLORVILLE POLICE DEPT,IL,38
TAZEWELL COUNTY SHERIFF DEPT,IL,28
THORNTON POLICE DEPT,IL,4
TINLEY PARK POLICE DEPT,IL,2
TOLONO POLICE DEPT,IL,3
TOWER LAKES POLICE DEPT,IL,4
TREMONT POLICE DEPT,IL,19
TRITON COLLEGE POLICE HI_ED,IL,16
TROY POLICE DEPT,IL,5
UNION COUNTY SHERIFF OFFICE,IL,11
UNIVERSITY PARK POLICE DEPT,IL,7
URBANA POLICE DEPT,IL,20
US DOJ FBI CHICAGO,IL,3
US POSTAL INSPECTION SERVICE,IL,2
VERMILION COUNTY SHERIFF DEPT,IL,28
VERNON HILLS POLICE DEPT,IL,13
VIENNA POLICE DEPT,IL,107
VILLA PARK POLICE DEPT,IL,7
VIRDEN POLICE DEPT,IL,1
WAMAC POLICE DEPT,IL,6
WARREN POLICE DEPT,IL,6
WARRENSBURG POLICE DEPT,IL,1
WASHBURN POLICE DEPT,IL,10
WASHINGTON COUNTY SHERIFF DEPT,IL,27
WASHINGTON POLICE DEPT,IL,7
WATERLOO POLICE DEPT,IL,12
WAUCONDA POLICE DEPT,IL,25
WAUKEGAN POLICE DEPT,IL,27
WAVERLY POLICE DEPT,IL,37
WAYNE POLICE DEPARTMENT,IL,2
WEST DUNDEE POLICE DEPT,IL,16
WEST FRANKFORT POLICE DEPT,IL,12
WESTCHESTER POLICE DEPARTMENT,IL,15
WESTERN SPRINGS POLICE DEPT,IL,4
WHEATON POLICE DEPT,IL,65
WHEELING POLICE DEPT,IL,9
WHITE COUNTY SHERIFFS DEPT,IL,6
WHITESIDE COUNTY SHERIFF DEPT,IL,14
WILL COUNTY SHERIFF DEPT,IL,93
WILLIAMSFIELD POLICE DEPT,IL,2
WILLIAMSON COUNTY SHERIFF DEPT,IL,29
WILLIAMSVILLE POLICE DEPT,IL,6
WILLISVILLE POLICE DEPT,IL,4
WILLOW SPRINGS POLICE DEPT,IL,3
WILMETTE POLICE DEPT,IL,1
WILMINGTON POLICE DEPT,IL,15
WINCHESTER POLICE DEPT,IL,6
WINFIELD POLICE DEPT,IL,11
WINNETKA POLICE DEPT,IL,5
WINSLOW POLICE DEPT,IL,7
WINTHROP HARBOR POLICE DEPT,IL,314
WITT POLICE DEPT,IL,1
WOOD DALE POLICE DEPT,IL,42
WOOD RIVER POLICE DEPT,IL,8
WOODFORD COUNTY SHERIFF DEPT,IL,4
WOODHULL POLICE DEPARTMENT,IL,1
WORDEN POLICE DEPT,IL,1
WORTH POLICE DEPARTMENT,IL,33
WYANET POLICE DEPT,IL,1
YORKVILLE POLICE DEPT,IL,10
ZEIGLER POLICE DEPT,IL,6
ADAMS COUNTY SHERIFF DEPT,IN,32
ALEXANDRIA POLICE DEPT,IN,27
ANDERSON POLICE DEPT,IN,89
ANGOLA  POLICE DEPT,IN,8
ARCADIA POLICE DEPT,IN,2
ASHLEY POLICE DEPT,IN,5
ATTICA POLICE DEPT,IN,1
AUBURN POLICE DEPT,IN,54
AUSTIN POLICE DEPT,IN,4
AVON POLICE DEPT,IN,57
BAINBRIDGE POLICE DEPT,IN,6
BARTHOLOMEW COUNTY SHERIFF DEPT,IN,31
BEDFORD POLICE DEPT,IN,11
BEECH GROVE POLICE DEPT,IN,1
BERNE POLICE DEPT,IN,8
BICKNELL POLICE DEPT,IN,6
BLACKFORD COUNTY SHERIFF OFFICE,IN,81
BLOOMFIELD POLICE DEPT,IN,2
BLOOMINGTON POLICE DEPT,IN,24
BLUFFTON POLICE DEPT,IN,4
BOONE COUNTY SHERIFF DEPT,IN,36
BOONVILLE POLICE DEPARTMENT,IN,6
BOURBON POLICE DEPT,IN,21
BRAZIL POLICE DEPT,IN,33
BROOKSTON POLICE DEPT,IN,1
BROWN CO PROSECUTORS OFFICE,IN,4
BROWN COUNTY SHERIFF DEPT,IN,15
BROWNSBURG POLICE DEPT,IN,8
BUNKER HILL POLICE DEPT,IN,6
BURNS HARBOR POLICE DEPT,IN,6
BUTLER POLICE DEPT,IN,9
CAMBRIDGE CITY POLICE DEPT,IN,6
CANNELTON POLICE DEPT,IN,1
CARMEL POLICE DEPT,IN,17
CAYUGA MARSHAL OFFICE,IN,3
CEDAR LAKE POLICE DEPT,IN,1
CENTERVILLE POLICE DEPT,IN,5
CHARLESTOWN POLICE DEPT,IN,16
CHESTERTON POLICE DEPT,IN,19
CLARK COUNTY SHERIFF DEPT,IN,167
CLARKS HILL POLICE DEPT,IN,2
CLARKSVILLE POLICE DEPT,IN,3
CLAY CITY POLICE DEPT,IN,7
CLAYTON POLICE DEPT,IN,2
CLERMONT POLICE DEPT,IN,1
CLINTON POLICE DEPT,IN,8
COLUMBIA POLICE DEPT,IN,11
COLUMBUS POLICE DEPT,IN,8
CONNERSVILLE POLICE DEPT,IN,44
CONSERVATION OFFICERS,IN,18
CONVERSE POLICE DEPT,IN,1
CRAWFORD COUNTY SHERIFF DEPT,IN,29
CROWN POINT POLICE DEPT,IN,7
CUMBERLAND POLICE DEPT,IN,21
DALEVILLE POLICE DEPT,IN,11
DANVILLE POLICE DEPT,IN,10
DAVIESS COUNTY SHERIFF DEPT,IN,47
DELAWARE COUNTY SHERIFF OFFICE,IN,44
DUNKIRK POLICE DEPT,IN,11
EDINBURGH POLICE DEPT,IN,8
EDWARDSPORT MARSHALS OFFICE,IN,7
ELKHART COUNTY SHERIFF DEPT,IN,20
ELKHART POLICE DEPT,IN,23
ELLETTSVILLE POLICE DEPT,IN,15
EVANSVILLE POLICE DEPT,IN,69
FAIRVIEW PARK POLICE DEPT,IN,6
FEDERAL BUREAU OF PRISONS,IN,1
FISHERS POLICE DEPT,IN,32
FLOYD COUNTY SHERIFF DEPT,IN,23
FORT BRANCH POLICE DEPT,IN,1
FORT WAYNE POLICE DEPT,IN,63
FORTVILLE POLICE DEPT,IN,20
FRANKFORT POLICE DEPT,IN,11
FRANKLIN POLICE DEPT,IN,8
FRANKTON POLICE DEPT,IN,7
GALVESTON POLICE DEPT,IN,5
GARRETT POLICE DEPT,IN,4
GARY POLICE DEPT,IN,23
GASTON POLICE DEPT,IN,4
GENEVA POLICE DEPT,IN,16
GEORGETOWN POLICE DEPT,IN,12
GIBSON COUNTY SHERIFF DEPT,IN,19
GOSHEN CITY POLICE DEPT,IN,58
GRANT COUNTY SHERIFF DEPT,IN,18
GREENCASTLE POLICE DEPT,IN,16
GREENDALE POLICE DEPT,IN,2
GREENE COUNTY SHERIFF DEPT,IN,2
GREENFIELD POLICE DEPT,IN,10
GREENVILLE POLICE DEPT,IN,3
GRIFFITH POLICE DEPT,IN,6
HAGERSTOWN POLICE DEPT,IN,5
HAMILTON POLICE DEPT,IN,2
HAMLET POLICE DEPT,IN,1
HANCOCK COUNTY SHERIFF DEPT,IN,1
HANOVER POLICE DEPT,IN,19
HARBOR BELT RAILROAD POLICE DEPART,IN,1
HARRISON COUNTY SHERIFF DEPT,IN,20
HEBRON POLICE DEPT,IN,20
HENRY COUNTY SHERIFF DEPT,IN,25
HIGHLAND POLICE DEPT,IN,6
HOMECROFT POLICE DEPT,IN,30
HOWARD COUNTY SHERIFF DEPT,IN,15
HUDSON POLICE DEPT,IN,3
HUNTINGTON COUNTY SHERIFF DEPT,IN,58
HUNTINGTON POLICE DEPT,IN,61
IN DEPT OF CORRECTIONS,IN,40
IN LAW ENFORCEMENT ACADEMY,IN,6
IN STATE EXCISE POLICE,IN,21
IN STATE POLICE,IN,53
IN UNIV PERDUE/FT WAYNE PD HI_ED,IN,21
IN UNIVERSITY BLOOMINGTON PD HI_ED,IN,6
INDIANAPOLIS  AIRPORT POLICE DEPT,IN,5
INDIANAPOLIS METRO POLICE DEPT,IN,241
IU HEALTH N HOSPITAL POLICE DEPT,IN,2
IU HEALTH/BALL MEMORIAL HOSPITAL PD,IN,8
JACKSON COUNTY SHERIFF DEPT,IN,3
JAMESTOWN POLICE DEPT,IN,4
JASPER POLICE DEPT,IN,2
JAY COUNTY SHERIFF OFFICE,IN,16
JEFFERSON COUNTY SHERIFF DEPT,IN,11
JEFFERSONVILLE POLICE DEPARTMENT,IN,17
JENNINGS COUNTY SHERIFF DEPT,IN,13
JOHNSON CO LAW ENF PROSECUTORS OFF,IN,21
JOHNSON COUNTY SHERIFF OFFICE,IN,76
JONESBORO POLICE DEPT,IN,22
KENDALLVILLE POLICE DEPT,IN,41
KIRKLIN POLICE DEPT,IN,42
KNIGHTSTOWN POLICE DEPT,IN,9
KNOX COUNTY SHERIFF DEPT,IN,13
KNOX POLICE DEPT,IN,1
KOKOMO POLICE DEPT,IN,10
KOSCIUSKO COUNTY SHERIFF OFFICE,IN,81
LA PORTE COUNTY SHERIFF DEPT,IN,12
LAFAYETTE POLICE DEPARTMENT,IN,87
LAGRANGE COUNTY SHERIFF DEPT,IN,8
LAKE COUNTY SHERIFF DEPT,IN,111
LAKE STATION POLICE DEPT,IN,16
LAKEVILLE POLICE DEPARTMENT,IN,80
LANESVILLE POLICE DEPARTMENT,IN,3
LAUREL POLICE DEPT,IN,3
LAWRENCE COUNTY SHERIFF DEPT,IN,20
LAWRENCE POLICE DEPT,IN,15
LEBANON POLICE DEPT,IN,12
LIGONIER POLICE DEPT,IN,23
LINDEN POLICE DEPT,IN,2
LINTON POLICE DEPT,IN,15
LOGANSPORT POLICE DEPT,IN,47
M.S.D. PIKE TWP POLICE DEPT,IN,4
MADISON COUNTY SHERIFF DEPT.,IN,26
MADISON POLICE DEPT,IN,15
MARION COUNTY SHERIFF DEPT,IN,35
MARION POLICE DEPT,IN,38
MARKLEVILLE POLICE DEPT,IN,5
MARSHALL COUNTY SHERIFF DEPT,IN,10
MARTIN COUNTY SHERIFF DEPT,IN,6
MARTINSVILLE POLICE DEPT,IN,8
MENTONE POLICE DEPARTMENT,IN,5
MERRILLVILLE POLICE DEPT,IN,28
MICHIGAN CITY POLICE DEPT,IN,3
MILFORD POLICE DEPARTMENT,IN,11
MILLTOWN POLICE DEPT,IN,5
MILTON POLICE DEPT,IN,3
MISHAWAKA POLICE DEPT,IN,48
MITCHELL POLICE DEPT,IN,13
MONROE COUNTY SHERIFF DEPT.,IN,22
MONTEZUMA POLICE DEPT,IN,4
MONTICELLO POLICE DEPT,IN,2
MONTPELIER POLICE DEPT,IN,15
MOORELAND POLICE DEPT,IN,6
MOORESVILLE POLICE DEPT,IN,3
MORGAN COUNTY SHERIFF,IN,26
MORRISTOWN POLICE DEPT,IN,90
MOUNT SUMMIT POLICE DEPT,IN,7
MUNCIE POLICE DEPT,IN,64
MUNSTER POLICE DEPT,IN,3
NASHVILLE POLICE DEPT,IN,8
NEW ALBANY POLICE DEPT,IN,155
NEW CARLISLE POLICE DEPT,IN,14
NEW CASTLE POLICE DEPT,IN,20
NEW HAVEN POLICE DEPT,IN,12
NEW RICHMOND POLICE DEPT,IN,1
NEWBURGH POLICE DEPT,IN,11
NOBLE COUNTY SHERIFF DEPT,IN,3
NOBLESVILLE POLICE DEPARTMENT,IN,32
NORTH LIBERTY POLICE DEPT,IN,60
NORTH MANCHESTER POLICE DEPT,IN,5
NORTH VERNON POLICE DEPT,IN,7
ODON POLICE DEPARTMENT,IN,5
OGDEN DUNES POLICE DEPT,IN,7
ORESTES POLICE DEPT,IN,2
OSSIAN POLICE DEPT.,IN,2
OWEN COUNTY SHERIFF OFFICE,IN,4
PAOLI POLICE DEPARTMENT,IN,14
PARKE COUNTY SHERIFF OFFICE,IN,11
PATOKA POLICE DEPT,IN,1
PENDLETON POLICE DEPARTMENT,IN,1
PERRY COUNTY SHERIFFS OFFICE,IN,9
PERU POLICE DEPARTMENT,IN,2
PIKE COUNTY SHERIFF DEPT,IN,23
PITTSBORO POLICE DEPARTMENT,IN,14
PLAINFIELD POLICE DEPARTMENT,IN,9
PORTAGE POLICE DEPT,IN,47
PORTER COUNTY SHERIFF DEPT,IN,2
PORTLAND POLICE DEPT,IN,7
PRINCES LAKES MARSHALS DEPT,IN,13
PULASKI COUNTY SHERIFF OFFICE,IN,85
PURDUE UNIVERSITY PD HI_ED,IN,25
PUTNAM COUNTY SHERIFF DEPT,IN,20
RANDOLPH COUNTY SHERIFF DEPT,IN,3
REDKEY POLICE DEPT,IN,5
RENSSELAER POLICE DEPT,IN,8
RICHMOND POLICE DEPT,IN,13
RIDGEVILLE POLICE DEPT,IN,4
ROCHESTER POLICE DEPT,IN,3
ROME CITY POLICE DEPT,IN,23
ROSELAND POLICE DEPT,IN,6
ROSSVILLE POLICE DEPT,IN,3
RUSH COUNTY SHERIFF DEPT,IN,1
RUSHVILLE POLICE DEPT,IN,12
SAINT JOHN POLICE DEPT,IN,15
SAINT JOSEPH CO POLICE DEPT,IN,72
SAINT JOSEPH COUNTY METRO HOMICIDE,IN,33
SALEM POLICE DEPT,IN,30
SCOTT COUNTY SHERIFF DEPT,IN,10
SCOTTSBURG POLICE DEPT,IN,3
SELLERSBURG POLICE DEPT,IN,33
SELMA POLICE DEPT,IN,5
SEYMOUR POLICE DEPT,IN,45
SHELBY COUNTY SHERIFF DEPT,IN,13
SHELBYVILLE POLICE DEPT,IN,71
SHIPSHEWANA POLICE DEPARTMENT,IN,13
SHOALS POLICE DEPT,IN,3
SILVER LAKE POLICE DEPT,IN,4
SOUTH BEND POLICE DEPT,IN,58
SOUTH WHITLEY POLICE DEPT,IN,3
SPENCER COUNTY SHERIFF DEPT,IN,3
STARKE COUNTY POLICE DEPT,IN,1
STEUBEN COUNTY SHERIFF DEPT,IN,25
STILESVILLE POLICE DEPT,IN,7
SWAYZEE POLICE DEPT,IN,2
SYRACUSE POLICE DEPARTMENT,IN,4
TERRE HAUTE POLICE DEPARTMENT,IN,108
THORNTOWN POLICE DEPARTMENT,IN,4
TIPPECANOE CTY SHERIFF OFFICE,IN,24
TIPTON COUNTY SHERIFF DEPT,IN,13
UNION COUNTY SHERIFF DEPT,IN,23
US DEPT OF VA INDIANAPOLIS,IN,2
US DOJ DEA INDIANAPOLIS,IN,9
UTICA POLICE DEPT,IN,3
VALPARAISO UNIV POLICE DEPT HI_ED,IN,2
VAN BUREN POLICE DEPT,IN,5
VANDERBURGH CTY SHERIFF DEPT,IN,21
VIGO COUNTY SHERIFF DEPT,IN,19
VINCENNES POLICE DEPT,IN,52
VINCENNES UNIVERSITY PD HI_ED,IN,11
WABASH COUNTY SHERIFF DEPT,IN,18
WALKERTON POLICE DEPT,IN,121
WARSAW POLICE DEPARTMENT,IN,46
WELLS COUNTY SHERIFF DEPT,IN,2
WEST BADEN SPRINGS POLICE DEPT,IN,6
