Station Name (LEA),State,Records
HUNTSVILLE POLICE DEPT,AL,57
IDER POLICE DEPT,AL,1
IRONDALE POLICE DEPT,AL,49
JACKSON COUNTY SHERIFF DEPT,AL,1
JACKSON POLICE DEPT,AL,7
JACKSONVILLE HIGHWAY PATROL,AL,16
JASPER POLICE DEPT,AL,13
JEFFERSON CO SHERIFF (CENTER POINT),AL,15
JEFFERSON COUNTY SHERIFF (BESSEMER),AL,103
JEFFERSON COUNTY SHERIFF DEPT,AL,71
KINSTON POLICE DEPT,AL,3
LAKE VIEW POLICE DEPT,AL,6
LAWRENCE COUNTY SHERIFF DEPT,AL,5
LEE COUNTY SHERIFF DEPT,AL,8
LEEDS POLICE DEPT,AL,26
LEESBURG POLICE DEPT,AL,32
LIMESTONE COUNTY SHERIFF DEPT,AL,21
LINCOLN POLICE DEPT,AL,4
LOUISVILLE POLICE DEPT,AL,9
LOWNDES COUNTY SHERIFF DEPT,AL,1
LUVERNE POLICE DEPT,AL,2
MACON COUNTY SHERIFFS OFFICE,AL,23
MADISON POLICE DEPT,AL,25
MAPLESVILLE POLICE DEPT,AL,1
MARENGO COUNTY SHERIFF DEPT,AL,14
MARGARET POLICE DEPARTMENT,AL,1
MARION COUNTY SHERIFF DEPT,AL,6
MARSHALL COUNTY SHERIFF DEPT,AL,14
MCINTOSH POLICE DEPT,AL,1
MIDFIELD POLICE DEPT,AL,15
MILLBROOK POLICE DEPT,AL,25
MILLRY POLICE DEPT,AL,7
MOBILE COMM CORRECTION CENTER,AL,1
MOBILE COUNTY SHERIFF DEPT,AL,14
MOBILE POLICE DEPT,AL,251
MONTGOMERY CO SHERIFF OFFICE,AL,6
MONTGOMERY CTY BOARD OF PARDONS,AL,5
MONTGOMERY POLICE DEPT,AL,5
MOODY POLICE DEPT,AL,26
MORGAN COUNTY SHERIFF DEPT,AL,40
MORRIS POLICE DEPT,AL,2
MOUNTAIN BROOK POLICE DEPT,AL,2
MUNFORD POLICE DEPT,AL,44
MUSCLE SHOALS POLICE DEPT,AL,33
NE AL LAW ENFORCEMENT ACADEMY,AL,50
NEWTON POLICE DEPT,AL,3
NORTHPORT POLICE DEPT,AL,14
ODENVILLE POLICE DEPT,AL,112
OHATCHEE POLICE DEPT,AL,24
ONEONTA POLICE DEPT,AL,28
ORANGE BEACH POLICE DEPT,AL,3
OXFORD POLICE DEPT,AL,295
OZARK POLICE DEPT,AL,14
PARRISH POLICE DEPT,AL,6
PELHAM POLICE DEPT,AL,34
PELL CITY POLICE DEPT,AL,41
PENNINGTON POLICE DEPT,AL,2
PHENIX CITY POLICE DEPT,AL,30
PICKENS COUNTY SHERIFF DEPT,AL,80
PIEDMONT POLICE DEPARTMENT,AL,9
PLEASANT GROVE POLICE DEPT,AL,22
POWELL POLICE DEPT,AL,2
PRATTVILLE POLICE DEPT,AL,3
PRICEVILLE POLICE DEPT,AL,1
PRICHARD POLICE DEPT,AL,7
RAGLAND POLICE DEPT,AL,1
RAINBOW CITY POLICE DEPT,AL,15
RANDOLPH COUNTY SHERIFF DEPT,AL,33
RIVERSIDE POLICE DEPT,AL,5
RUSSELLVILLE POLICE DEPT,AL,25
SAINT CLAIR COUNTY SHERIFF DEPT,AL,10
SARALAND POLICE DEPT,AL,1
SARDIS CITY POLICE DEPT,AL,15
SATSUMA POLICE DEPT,AL,8
SCOTTSBORO POLICE DEPT,AL,8
SELMA POLICE DEPT,AL,54
SHELBY COUNTY SHERIFF DEPT,AL,8
SIPSEY POLICE DEPT,AL,1
SKYLINE POLICE DEPT,AL,5
SLOCOMB POLICE DEPT,AL,6
SNEAD POLICE DEPT,AL,13
SOMERVILLE POLICE DEPT,AL,1
SOUTHSIDE POLICE DEPT,AL,16
SPRINGVILLE POLICE DEPT,AL,14
STEELE POLICE DEPT,AL,2
SUMITON POLICE DEPT,AL,158
SYLACAUGA POLICE DEPT,AL,24
TALLADEGA COUNTY DTF,AL,10
TALLADEGA POLICE DEPT,AL,37
TALLAPOOSA COUNTY NTF,AL,2
TALLAPOOSA COUNTY SHERIFF DEPT,AL,18
TARRANT POLICE DEPT,AL,8
THOMASVILLE POLICE DEPT,AL,8
THORSBY POLICE DEPT,AL,2
TRINITY POLICE DEPT,AL,3
TROY POLICE DEPT,AL,1
TROY UNIVERSITY POLICE DEPT  HI_ED,AL,55
TRUSSVILLE POLICE DEPT,AL,110
TRUSSVILLE SPECIAL INV UNIT,AL,3
TUSCALOOSA COUNTY SHERIFF DEPT,AL,90
TUSCALOOSA POLICE DEPT,AL,59
TUSCUMBIA POLICE DEPT,AL,183
UNIONTOWN POLICE DEPT,AL,2
UNIV OF AL HUNTSVILLE POLICE HI_ED,AL,23
UNIV OF NORTH AL POLICE  HI_ED,AL,3
US DOJ ATF BIRMINGHAM,AL,449
US DOJ ATF REDSTONE ARSENAL,AL,1
US DOJ FBI BIRMINGHAM DIVISION,AL,6
US MARSHAL SERVICE GULF COAST FTF,AL,2
US MARSHAL SERVICE MONTGOMERY,AL,3
VANCE POLICE DEPT,AL,1
VESTAVIA HILLS POLICE DEPT,AL,96
VINCENT POLICE DEPT,AL,51
WALKER COUNTY SHERIFF DEPT,AL,86
WASHINGTON COUNTY SHERIFF DEPT,AL,20
WEAVER POLICE DEPT,AL,11
WEST BLOCTON POLICE DEPT,AL,1
WETUMPKA POLICE DEPT,AL,5
WINSTON COUNTY SHERIFF DEPT,AL,41
14TH JUDICIAL DIST DTF,AR,7
ALMA POLICE DEPT,AR,4
AR DEPT OF CORRECTION PINE BLUFF HQ,AR,54
AR LAW ENF TRAINING ACADEMY,AR,84
AR STATE PARKS,AR,143
AR STATE POLICE LITTLE ROCK,AR,10
AR TOBACCO CONTROL BOARD,AR,5
ARKADELPHIA POLICE DEPT,AR,88
ASH FLAT POLICE DEPT,AR,1
ASHLEY COUNTY SHERIFF DEPT,AR,18
ATKINS POLICE DEPARTMENT,AR,6
AUSTIN POLICE DEPT.,AR,8
BARLING POLICE DEPT,AR,4
BAUXITE POLICE DEPT,AR,7
BAXTER COUNTY SHERIFF DEPT,AR,6
BEEBE POLICE DEPT,AR,2
BENTON COUNTY SHERIFF DEPT,AR,4
BENTON POLICE DEPT,AR,32
BENTONVILLE POLICE DEPT,AR,32
BERRYVILLE POLICE DEPT,AR,22
BLACK RIVER TECH COLLEGE LE ACAD,AR,59
BLACK ROCK POLICE DEPT,AR,4
BLYTHEVILLE POLICE DEPT,AR,27
BOONE COUNTY SHERIFF DEPT,AR,6
BRYANT POLICE DEPT,AR,163
CABOT POLICE DEPT,AR,1
CAMDEN POLICE DEPT,AR,3
CAMP ROBINSON DEPT OF PUBLIC SAFETY,AR,10
CARLISLE POLICE DEPT,AR,6
CHEROKEE VILLAGE POLICE DEPT,AR,11
CHIDESTER POLICE DEPT,AR,13
CLARK COUNTY SHERIFF DEPT,AR,6
CONWAY COUNTY SHERIFF DEPT,AR,17
CONWAY POLICE DEPT,AR,14
CRAIGHEAD COUNTY  SHERIFF DEPT,AR,5
CRAWFORD COUNTY SHERIFF DEPT,AR,31
CRITTENDEN COUNTY SHERIFF DEPT,AR,1
CROSS COUNTY SHERIFF DEPT,AR,26
DANVILLE POLICE,AR,6
DAVALLS BLUFF POLICE DEPT,AR,1
DELL POLICE DEPARTMENT,AR,5
DEQUEEN POLICE DEPT,AR,13
DIERKS POLICE DEPT,AR,5
DOVER MARSHALS OFFICE,AR,4
DREW COUNTY SHERIFF DEPT,AR,4
DYER POLICE DEPT,AR,6
EL DORADO POLICE DEPT,AR,11
ELKINS POLICE DEPARTMENT,AR,8
ELM SPRINGS AR POLICE DEPT,AR,7
ENGLAND POLICE DEPT,AR,12
EUREKA SPRINGS POLICE DEPT,AR,4
FAIRFIELD BAY POLICE DEPT,AR,9
FAULKNER COUNTY SHERIFFS OFFICE,AR,12
FOREMAN MARSHALS OFFICE,AR,5
FORREST CITY POLICE DEPT,AR,3
FORT SMITH POLICE DEPT,AR,1
FRANKLIN COUNTY SHERIFF DEPT,AR,13
FULTON COUNTY SHERIFF DEPT,AR,9
GARLAND COUNTY SHERIFF DEPT,AR,48
GENTRY POLICE DEPT,AR,2
GILLETT POLICE DEPT,AR,5
GLENWOOD POLICE DEPT,AR,7
GRADY POLICE DEPT,AR,2
GRANNIS POLICE DEPT,AR,8
GRAVETTE POLICE DEPT,AR,2
GREEN FOREST POLICE DEPT,AR,4
GREENBRIER POLICE DEPT,AR,4
GREENE COUNTY SHERIFF DEPT,AR,3
