Item Name,Quantity
DESC=BEAM HIT TARGETING TRAINING,1
DESC=BEAM HIT TRAINING SYSTEM,1
DESC=BEAMHIT  ALIGNMENT DEVICE,3
DESC=BEAMHIT 130 SYSTEM,1
DESC=BEAMHIT KIT SET,1
DESC=BEAMHIT LASER TARGET SYSTEM,5
DESC=BEAMHIT TARGET TRAINING,1
DESC=BEAMHIT TARGETS,2
DESC=BEAMHIT TARGETS NO WEAPONS,1
DESC=BEAMHIT TRAINING SYSTEM 460,1
DESC=BEAMHIT WEAPONS TRAINERS,1
DESC=BENCH WORK W DRAWERS,1
DESC=BINO,1
DESC=BINOCULAR  IMAGE STABILIZING,2
DESC=BINOCULAR ASSY SET,1
DESC=BINOCULAR EMSON 10 X 50,2
DESC=BINOCULAR IMAGE STABILIZERS,1
"DESC=BINOCULAR,NIGHT VISION",40
DESC=BINOCULARS,2
DESC=BINOCULARS BUSHNELL,2
DESC=BINOCULARS LASER RANGE FINDER,5
DESC=BIPOD HK PN15412 FOR HK33RIFL,8
"DESC=BIPOD, MDL",1
DESC=BLANKET KEVLAR,1
DESC=BLOOD PRESSURE CUFF,8
DESC=BODY ARMOR FIRST CHOICE XL,1
DESC=BODY ARMOR LIGHTWEIGHT,107
DESC=BODY ARMOR PLATES,24
DESC=BODY ARMOR VEST BLACK DAP,1
"DESC=BODY ARMOR, FIRST CHOICE LG",1
DESC=BOLT CARRIER,12
DESC=BOMB BLANKET,1
DESC=BOMB BLANKET 4X4,1
DESC=BOOM SUIT  HELMET,3
DESC=BOOTS COMBAT,1
DESC=BORESCOPE,1
DESC=BORESIGHT KIT,1
DESC=BOROSCOPE,2
DESC=BOXING EQUIP,1
DESC=BUSHNELL BINOCULARS,3
DESC=BUTTSTOCK,19
DESC=CAMAERA DIGITAL E 10,1
DESC=CAMERA  TELEVISION UNDERWATER,2
DESC=CAMERA DIGITAL SONY DSC875,2
DESC=CAMERA NIGHT SIGHT,1
DESC=CAMERA NIGHTSIGHT,1
DESC=CAMERA PTZ CONTROLER,7
DESC=CAMERA RECORDING VI,1
DESC=CAMERA THERMAL,6
DESC=CAMERA THERMAL IMAGING,1
DESC=CAMERA THERMAL MIRC X1,5
"DESC=CAMERA, DIGITAL SET W/CASE",1
"DESC=CAMERA, SURVEIL & ATTACHMENTS",1
DESC=CANNON VC C4 CAMERA,2
DESC=CARBINE UPPER RECEIVER & BARR,2
DESC=CARD SCAN PLUS,2
DESC=CASE HANDCUFF,23
DESC=CASE MAG,15
DESC=CASE SMALL ARMS,15
DESC=CAT MTL   FULLY TRACKED BOBCA,2
"DESC=CATCH, MAG",1
"DESC=CHAIR, METAL, FOLDING",9
DESC=CHARGING HANDLE,10
DESC=CLAYMORE MINE  M68,10
DESC=CLEANING KIT,200
"DESC=CLEANING KIT,HYDRATION",44
DESC=COMPASS CADET 2200 BRUNTON,10
DESC=COMPUTER,6
DESC=COMPUTER DELL DCTA,1
DESC=CONTRABAND DETECTOR,1
DESC=CONV KIT 1911,4
DESC=CONVERSION KIT  GLOCK,1
DESC=CONVERSION KIT 12 GA  38 CAL,3
DESC=CONVERSION KIT 5305655 SIMUNI,5
DESC=CONVERSION KIT COLT,100
DESC=CONVERSION KIT FOR 12 GA  SHO,12
DESC=CONVERSION KIT SIMUNITION,2
DESC=CONVERTACOM,1
DESC=COOLER AIR EVAPOR,3
DESC=COVER CARGO BED,2
DESC=COVERALLS FLYERS,1
DESC=CPCV   EXTENSION CORD,30
DESC=CPCV  LIGHT OUTLET BOX,2
DESC=CPCV BATON RIOT WOOD,80
DESC=CPCV BATONS RUBBER,84
DESC=CPCV BODY ARMOR PERSONAL,2
DESC=CPCV COLOR COMPUTER PROJECTOR,1
DESC=CPCV GORTEX TROUSERS XLG,2
DESC=CPCV MOTOROLA RADIO SET MOBIL,1
DESC=CPCV PLATE INSERT GEN II,62
DESC=CPCV SIMUNITION VEST,11
DESC=CPCV STRIKEFACE PLATE,2
DESC=CPCV THERMAL IMAGER,1
DESC=CPCV TROUSERS GORTEX LG REG,3
DESC=CPCV VEST OMEGA TACTICAL,10
DESC=CPCVX  HOLSTER PISTOL  BLK SA,30
DESC=CPCVX CONVERSION KIT M4A1 CAR,25
DESC=CPCVX DETECTOR SYS VAPOR TRAC,48
DESC=CPCVX GPS  HANDLE,1
DESC=CPCVX HYDRATION SYS,20
DESC=CPCVX LOW PROFILE PEQ2 MOUNT,101
DESC=CPCVX MAGAZINE M16 CLEAR PLAS,50
DESC=CPCVX NIGHTSITE CAMERA,3
DESC=CPCVX PROTECTIVE MASK SIMUNIT,150
DESC=CPCVX PROTECTIVE PANTS SIMUNI,15
DESC=CPCVX PROTECTIVE SLEEVE SIMU,45
DESC=CPCVX PROTECTIVE VEST SIMUNI,50
DESC=CPCVX PROTECTOR FOREARM SIMUN,45
DESC=CPCVX PROTECTOR GOIN SIMUNI,45
DESC=CPCVX PROTECTOR NECK SIMUNI,45
DESC=CPCVX RADIO PORTABLE,4
DESC=CPCVX RADIO PORTABLE TK2180,50
DESC=CPCVX RADIO PORTABLE TK250,13
DESC=CPCVX RADIO PORTABLE TK272,2
DESC=CPCVX RADIO PORTABLE TK280,5
DESC=CPCVX RADIO PORTABLE TK80,10
DESC=CPCVX SIGHT REFLEX MOA,6
DESC=CPCVX SOFT POUCH M249 SIMUNIT,12
DESC=CPCVX TOOLS,1
DESC=CPCVX TOWELS,6
DESC=CPCVX TRAILER TANDEM PLATFORM,2
DESC=DAMIEL DEFENSE OMEGA RAIL,147
DESC=DARK INVADER NIGHT VISION,1
DESC=DEFENDER ENTRY SHEILD,7
DESC=DEFENSIVESHIELD MOBILE STAND,10
DESC=DEPRESSOR PLUNGER,2
"DESC=DEPRESSOR PLUNGER, GLOCK",1
DESC=DESKTOP CPU,100
DESC=DETECTOR  MINE,2
DESC=DETECTOR CHEMICAL LIGHTWEIGHT,1
DESC=DETECTOR KIT MULTI GAS LCD,1
DESC=DETECTOR MULTI GAS HANDHELD,10
DESC=DOT SIGHT,3
"DESC=DRILL,ELECTRIC,PORTABLE",1
DESC=DS TRIPOD,1
DESC=DUAL BEAM AIMING LASER,1
DESC=DUMMY AK47ASSULT,3
DESC=DUMMY M16A,16
DESC=DUMMY M16A1 PLASTIC RIFLE,59
DESC=DUMMY M16A1 TRAINING,11
DESC=DUMMY M16A2 TRAINING AID,1
"DESC=EDGED TOOLS, NON POWERED",2
DESC=EF JOHNSON RADIO 242 5112 61,40
DESC=ELBOW AND KNEE PAD SET,135
DESC=ELBOW KNEE PAD SET,19
DESC=ELECTRIC CARTS,2
DESC=ELLIPTICAL,1
"DESC=ENGINE,TRANS,DIESEL W/KITS",1
DESC=EOD BOMB HELMETS,2
DESC=EOD BOMB SUIT S104SUIT LG,1
DESC=EOD UXO CONTAINMENT TRAILER,1
DESC=EXPLOSIVE DEVICE TRANSPORT,1
DESC=EXTRA CLIP F REM 700,42
"DESC=EXTRACTOR, 9MM",1
DESC=FARALLON DPV MK 7E,2
DESC=FATS SIMULATOR,1
DESC=FILTER  AIR HM 1,3
DESC=FIRING PIN,1
DESC=FLEECE POLARTEC,1
DESC=FLIGHT SUITS,1
DESC=FLIR CAMERA FLIR SYSTEMS,2
DESC=FLIR SYS T 2000,2
DESC=FOLDING STOCK ASSY STEEL,17
DESC=FORCE ENTRY TOOL SET,1
DESC=FORE END ASSY MCS 870 REM,6
DESC=FORWARD LOOKING IR,3
DESC=FOSTORIA HEATWAVE,2
"DESC=FOUNTAIN, DRINKING  DOG",1
DESC=FRONT AXLE ASSY,10
DESC=FUEL TANK PLASTIC,3
DESC=GAITOR BOOT,9
DESC=GARRETT CONTAINER SYSTEM,4
DESC=GEAR ASSEMBLY LANDING CROSSTU,8
DESC=GEAR ASSEMBLY LANDING SKID,4
DESC=GEAR LANDING SKID,4
DESC=GENESIS RADAR GUNS WITH CASE,2
DESC=GLOBAL PROTECTION XL SUIT,5
DESC=GLOVES FLYERS CWF-FG-80,3
DESC=GLOVES RUCKER BLACK,3
DESC=GOGGLE NIGHT VISION,6
DESC=GOGGLE SUSTEM  THERMAL,33
DESC=GOGGLES  NIGHT VISION,1
"DESC=GOGGLES, NIGHT VISION",1
DESC=GPS NAVIGATION UNIT,1
DESC=GPS RADIO,4
DESC=GPS W MOUNT,1
DESC=GREEN PLACTIC BOX EMPTY,20
DESC=GRINDER ELECTRIC,1
"DESC=GRIP ASSY,870",1
DESC=GUARDFIST TRAINER,1
DESC=HAND HELD RADIO,9
DESC=HANDHELD RADIOS,18
DESC=HANDHELD UHF RADIO,6
DESC=HANDS TOOLS,4
DESC=HEADSET  COMMUNICATION,2
DESC=HELMET  GROUND TROOP LG,20
DESC=HELMET  TACTICAL BALLISTIC,1
DESC=HELMET FLYER S,2
DESC=HELMET GROUND TROOP LG,4
DESC=HELMET GROUND TROOP SZ LARGE,39
DESC=HELMET GROUND TROOP SZ MEDIUM,25
"DESC=HELMET,RIOT",26
"DESC=HOLOSIGHT,BUSHNELL",1
DESC=HOLSTER  GUN,4
DESC=HOLSTER PISTOL  BLK SAFARI,6
DESC=HONDA FOURTRAX,2
"DESC=HOOD, ANTIFLASH FIRE RESISTAN",62
DESC=I R HUMVEE LIGHT,2
DESC=ILLUMINATOR KIT,68
DESC=IMAGE,1
DESC=IMAGE INTENSIFIER,2
"DESC=IMAGE INTENSIFIER,N",1
DESC=IMAGING SYSTEM AN/AVX-1,2
DESC=IMMARSAT SATELITE PORT,1
DESC=INDIVIDUAL FIRST KIT,48
DESC=INERT AK 47,9
DESC=INERT M16A1,4
DESC=INERT M16A1 RUBBER RIFLE,1
DESC=INERT ROCKET LAUNCHER,3
DESC=INERT RPK RIFLE,2
DESC=INERT SOVIET PKM RIFLE,1
DESC=INFERARED VIEWER,2
DESC=INSPECTION SYSTEM VEHICLE,2
DESC=INTENSIFIER  IMAGE,1
DESC=INTRUDER ENTRY SHIELD,1
DESC=IR FRONT LOOK CAMERA,8
DESC=IR LAMP VERSION M,20
DESC=IROBOT 510,1
DESC=KAWASAKI 3010,1
DESC=KIT CAMELPAK CLEANER,14
DESC=KIT FSBE INDIVIDUAL,17
DESC=KIT TUBE CUT,1
DESC=KNEE & ELBOW PAD SETS,9
DESC=LADDER,2
DESC=LADDER  TACTICAL,1
DESC=LADDER FOLDING,2
"DESC=LADDER, SEK TACTICAL",1
DESC=LAND ROVER DEFENDER,1
DESC=LARGE SCREEN TELEVISIONS,3
DESC=LARUE TACTICAL MOUNT,15
DESC=LASER,14
DESC=LASER AIM1,3
DESC=LASER AIMING DEVICE,10
DESC=LASER BALLISTIC GLASSES,64
DESC=LASER BINOCULAR,1
DESC=LASER KIT,2
DESC=LASER MARKMANSHIP TRAINER,1
DESC=LASER MARKMANSHIP TRAINING,1
DESC=LASER MEASUREMENT SYSTEM,1
DESC=LASER POINTER,382
DESC=LASER RANGE FINDER,2
DESC=LASER RANGERFINDER 6X23,2
DESC=LASER SHOT RIFLE,3
DESC=LASER SIGHT  SUREFIRE,7
DESC=LASER SYSTEM BEAMHIT,1
DESC=LASER TACHOMETER,1
DESC=LEUPOLD M3A 10X SCOPE,2
"DESC=LEVEL,SLIDE STOP,EXT",6
"DESC=LEVER, SLIDE",1
"DESC=LEVER, SLIDE STOP",10
DESC=LIFTING TOOL,2
DESC=LIGHT  TACTICAL MOUNT,13
DESC=LIGHT ATTACHMENT GUN,1
DESC=LIGHT HEAD,9
DESC=LIGHT SUREFIRE,4
DESC=LIGHT TACTICAL MOUNT,36
DESC=LOADDEARER BELT,1
"DESC=LOCKING BLOCK, GLOCK",2
"DESC=LOCKING BLOCK,GLOCK",1
DESC=LOKE DIGITAL AUDIO SURVEILANC,2
DESC=LONG RANGE NIGHT LENS,1
DESC=LRAD 1000 HEAD UNIT,2
DESC=M16A1 RUBBER W BAYONET ATTACH,17
DESC=M16A1 TRAINING WEAPON,6
DESC=M16A2 SIMULATED TRAINING RIFL,8
DESC=M4 CARBINE TRNG AID,1
DESC=M900 LITE SUREFIRE,25
DESC=M938A NVS,3
DESC=M944 NIGHT SCOPE W ACCESSORIE,1
DESC=MACHETE,8
DESC=MAG BUMPER KIT PACHMAYR MBK,20
DESC=MAG BUMPER PAD  SHAW,20
DESC=MAG CONV KIT F REM 700,14
DESC=MAGAZINE,197
DESC=MAGAZINE  30 ROUND,2
DESC=MAGAZINE  BLACK POLYMER 30RD,250
DESC=MAGAZINE 308,63
DESC=MAGAZINE BLACK POLYMER 30RD,49
DESC=MAGAZINE GLOCK 23  13RD,13
DESC=MAGAZINE KELTEC P3AT  380,9
DESC=MAGAZINE SIG 9MM 10RD,108
DESC=MAGAZINE SIMUNITION,383
"DESC=MAGAZINE, 9MM PISTOL",7
"DESC=MAGAZINE, SIM",95
DESC=MAGPUL UBR UTILITY/RIFLE STOC,2
DESC=MARCBOT,12
DESC=MARCBOT ROBOTS,24
DESC=MASK RESPIRATOR,7
DESC=MATILDA MESA,1
DESC=MECHANISM POP UP TARGET,1
DESC=MEDICAL BAG,1
DESC=MENS VEST W 2 CARRIER 3XLL,2
DESC=METAL DEETECTOR,1
DESC=MICROWAVE,12
DESC=MINE DETECTING SET  F1A4,3
DESC=MINE DETECTOR,15
DESC=MINELAB MINE DETECTOR SET,20
DESC=MINIATURE THERMAL SCOPE,1
DESC=MIRAGE 1200 OBSERVATION SCOPE,5
DESC=MK 4 BOMB BOT,1
DESC=MOBILE OPERATIONS CENTER,1
DESC=MOBILE RADIO,4
DESC=MODEL S09 SWITCH ASSY,40
DESC=MODERN UNIT  ANTENNA,4
DESC=MODULAR ENTRY TOOLS,13
DESC=MONOCULAR  HAND-HELD,1
DESC=MONOCULAR NV ATN NVM 14,6
DESC=MOTOROLA 2 WAY RADIO,2
DESC=MOTOROLA RADIO CDM 750,1
DESC=MOTOROLA RADIO INTERFACE BOX,1
DESC=MOTOROLA RADIUS CP100,20
DESC=MOTOROLA RAIO HANDHELD,11
DESC=MOTOROLA XTS 30000I,5
DESC=MOUNTS  WEAPON AN PVS 18,25
DESC=MX 2 THERMAL SIGHT,1
DESC=NACRE QUIETPRO HEARING PROTEC,45
DESC=NAV 300 GPS,2
DESC=NAVIGATION  GPS GARMIN 2010C,1
DESC=NIGHT SCOPE,7
DESC=NIGHT SIGHT,1
DESC=NIGHT VIEWING DEVICES,1
DESC=NIGHT VISION,1
DESC=NIGHT VISION  250D RAYTHEON,1
DESC=NIGHT VISION BINOCULAR D321 A,1
DESC=NIGHT VISION EQUIPMENT,7
DESC=NIGHT VISION GOGGLES,2
DESC=NIGHT VISION MONOCULAR,3
DESC=NIGHT VISION NL 303,1
DESC=NIGHT VISION OUTFIT,1
DESC=NIGHT VISION POCKETSCOPE,5
DESC=NIGHT VISION SCOPE,12
DESC=NIGHT VISION SCOPE G,3
DESC=NIGHT VISION SHADOW SN0001,1
DESC=NIGHT VISION SIGHT,2
DESC=NIGHT VISION SIGHT AN/PVS-8,1
DESC=NIGHT VISION SIGHT IR THERMAL,2
DESC=NIGHT VISION SYSTEM,5
DESC=NIGHT VISION SYSTEM FOR OBSER,1
DESC=NIGHT VISON SIGHT,1
DESC=NIGHT-VISION GOGGLES,2
DESC=NIGHTSIGHT TEXAS INSTRUMENTS,1
DESC=NIGHTVISION,1
DESC=NIGHTVISON BINOS,1
DESC=NIKON 105MM LENS,1
DESC=NIKON NIKKOR 24MM 1 2 8 MANUA,1
DESC=NIKON NIKKOR 28 85MM LENS,1
DESC=NIKON NIKKOR 35-105MM 1 3-4 5,1
DESC=NIKON NIKKOR 80-200MM 1 4 LEN,1
DESC=NIKON STABLE EYES,1
DESC=NITESSPOT 50 VECTRONIX,1
DESC=NV SCOPE KNIGHTS PN26400,2
DESC=NVG MOUNTING SYSTEM,19
DESC=NVG SCOPE,1
DESC=NVS RANGER M995 GEN III,2
DESC=PACHMAYR WRAP AROUND PIST GRP,6
DESC=PARACHUTE,1
DESC=PARKA COLD WEATHER LARGE,50
DESC=PARKA GOORTEX LWT XL,7
DESC=PARKA GORTEX LWT M,5
DESC=PECK 2,25
DESC=PERSONNEL BOMB SHIELD,1
DESC=PERSONNEL IDENTIFICATION BAND,500
DESC=PHOTO OBSERVATION NVG,2
"DESC=PIN, FIRING",1
"DESC=PIN, FIRING GLOCK",1
"DESC=PIN, FIRING, GLOCK",2
"DESC=PIN, LOCKING",1
"DESC=PIN, LOCKING BLOCK",1
"DESC=PIN, TRIGGER",2
"DESC=PIN, TRIGGER GLOCK",1
"DESC=PIN, TRIGGER, GLOCK",4
"DESC=PIN,FIRING,GLOCK",6
"DESC=PIN,LOCKING BLOCK",3
"DESC=PIN,TRIGGER,GLOCK",1
DESC=PISTOL GRIP,60
DESC=PLATE LOADED SMITH MACHINE,1
DESC=PLATES GAMMA,113
DESC=POCKETSCOPE STAR TRON MK880,2
DESC=PORTABLE REPEATER,2
DESC=PORTTABLE INFANTRY TARGET SYS,5
DESC=POST POUNDER,1
DESC=POWER SYSTEM EMERGENCY MOBILE,3
"DESC=POWER SYSTEM, EMERGENCY, MOBI",1
"DESC=POWER SYSTEM, EMERGENCY,MOBIL",4
DESC=POWERED GREEN LASER POINTER,20
DESC=PRESSURE WASHER,1
DESC=PROTECT COVERALL 25 PER BOX,30
DESC=PROTECTOR  HEARING,15
DESC=PROTECTOR BALLISITIC BICEP,7
DESC=PROTECTOR HEARING QUIETPRO,25
DESC=PROTECTOR SHOULDER BALLISTIC,13
DESC=PUBLIC ADDRESS SYSTEM,1
DESC=PWCS  LMR  HAND TRANS RECEIVE,45
DESC=PWCS  LMR  REPEATER,5
DESC=PWCSLMR HAND TRANS RECEIVER,15
DESC=QUICK SET PAN   TILT CONTROLL,5
DESC=RADAR GUN,1
DESC=RADAR VISION,1
DESC=RADIO,3
DESC=RADIO ASTRO  DIGITAL,1
DESC=RADIO ASTRO DIGITAL,7
DESC=RADIO ASTRO DIGITAL PORT,1
DESC=RADIO ASTRO SPECTRA,3
DESC=RADIO ASTRO SPECTRA MOBILE,11
DESC=RADIO HANDHELD UHF,25
DESC=RADIO ICOM ICOM F420,7
DESC=RADIO INTERFACE,22
DESC=RADIO MOBIL PORTABLE,6
DESC=RADIO MOBILE MOTOROLA XTS3000,20
DESC=RADIO MOBILE UHF,15
DESC=RADIO P25 VHF PORTABLE,8
DESC=RADIO PORT XTS2500,4
DESC=RADIO PORTABLE,86
DESC=RADIO PORTABLE HIGH BAND VHF,6
DESC=RADIO PORTABLE UHF 450 520MHZ,1
DESC=RADIO SET,2
"DESC=RADIO,  PORTABLE",1
DESC=RAIL ADAPTER KNIGHTS ARMORMT,272
DESC=RAIL MOUNT,1
DESC=RANGE FINDER,3
DESC=RANGE FINDER LASER,2
DESC=RANGE SYSTEM BINOCULAR W TRIP,1
DESC=RANGEFINDER,7
DESC=RANGEFINDER SWAROVSKI,4
DESC=RAYTHEON II SYSTEMS NIGHT SIG,2
DESC=RECCE KIT SURVEILLANCE SYSTEM,1
DESC=RECEIVER,1
DESC=RECEIVER TRANSMITTE,21
DESC=RECEIVER/TRANS RADIO MOTOROLA,7
DESC=RECON SURVEILLANCE KIT  EYE D,3
"DESC=RECORDER,INFRARED",1
DESC=RECREATIONAL AND GYMNASTIC EQ,2
DESC=REFRIGERATOR,2
DESC=REPEATER UHF 403 433,2
DESC=REPEATER W ANTENNA,1
DESC=RESPIRATOR AIR SUPLY SELCONT,1
DESC=RESPIRATOR AIR SUPPLY SEL CO,1
DESC=RESPIRATOR AIR SUPPLY SEL-CON,1
DESC=RESPIRATOR AIR SUPPLY SELFCON,1
DESC=RESPIRATOR AIR SUPPLYING COT,1
DESC=RESPIRATOR AIR SUPPLYING SELC,1
DESC=RF COMM VHF UHF ANTENNNA,3
DESC=RIFLE  AIR   177 CAL,9
DESC=RIFLE AIR DAISY,1
DESC=RIFLE PELLET AIR,2
DESC=RIFLE SCOPE,5
DESC=RIFLE SCOPEFULLFIELD IIBURRIS,2
DESC=RIOT GEAR,6
DESC=RIOT SHIELD,2
DESC=ROBO CHECK POINT,2
"DESC=ROBOT, ALLEN-VANGAURD",1
"DESC=ROBOT,MINI ANDROS",3
DESC=ROD PISTON ASSY,10
DESC=RSTA SENSOR KIT,4
DESC=RUN FLAT TIRE W RIM,4
DESC=SABER HANDHELD RADIO,2
DESC=SAFE,4
DESC=SAFETY PIN,3
"DESC=SAFETY, FIRING PIN",1
"DESC=SAFETY, FIRING PIN, GLOCK",1
"DESC=SAFETY,FIRING PIN",1
DESC=SAGEM THERMAL IMAGER,1
DESC=SATELLITE PHONE,1
DESC=SAW CIRCULAR 7 1/4 INCH,1
DESC=SAW PISTOL GRIP,69
DESC=SCANJET 8250 DIG FLATBED SCAN,1
DESC=SCOPE,20
DESC=SCOPE  NIGHTVISION,1
DESC=SCOPE 1 1 4X20MM ILLUM RET,16
DESC=SCOPE 4X20,15
DESC=SCOPE C MORE M4,3
DESC=SCOPE LEUPOLD,3
DESC=SCOPE LRT FF,3
DESC=SCOPE NIGHT,5
DESC=SCOPE NIGHT AUGMENTED,25
DESC=SCOPE NIGHT AUGUMENTED,27
DESC=SCOPE NIGHT VISION,13
DESC=SCOPE NIGHTFORCE,1
DESC=SCOPE NITE VISIONN,4
DESC=SCOPE RIFLE,11
DESC=SCOPE RIFLE  SCOPE LEUPOLD,1
DESC=SCOPE RIFLE 3 2X17X44 HORUS,2
DESC=SCOPE RIFLE SIGHT,9
DESC=SCOPE RIFLE W/TRIPOD,9
DESC=SCOPE SPOTTING,2
DESC=SCOPE SPOTTING 12X 40X60MM,1
DESC=SCOPE SPOTTING 20X60 KOWA,2
DESC=SCOPE SPOTTING 25X50MM,2
DESC=SCOPE VARI III,7
"DESC=SCOPE, 20MM ILLUM",4
"DESC=SCOPE, GUN",1
"DESC=SCOPE,SPOTTING 25X50MM",1
DESC=SHARPS DISPOSAL CONTAINERS,12
DESC=SHELTER STORAGE,3
DESC=SHELTER SYSTEM,2
DESC=SHIELD  BALLISTIC,12
DESC=SHIELD BODY LARGE,22
DESC=SHIELD BODY SMALL,15
DESC=SHIELD PORTABLE,13
DESC=SHORT RANGE  THERMAL CAMERA,7
DESC=SIGHT DOCTOR 3 5 MOA,5
DESC=SIGHT HOLO,1
DESC=SIGHT NIGHT VISION,5
DESC=SIGHT REFLEX,10
DESC=SIGHT REFLEX   MS02 TRIJICON,14
DESC=SIGHT REFLEX 3 5 MOA,4
DESC=SIGHT REFLEX MS01 3 5 MOA,18
DESC=SIGHT RELEX,49
DESC=SIGHT THERMAL,1
DESC=SIGHT TOOL,1
"DESC=SIGHT, HOLOGRAPHIC",13
"DESC=SIGHT,EOTECH HOLOGRAM",10
"DESC=SIGHT,HOLOGRAPHIC",32
DESC=SILKWEIGHT DRAWERS BLK XL,370
DESC=SIMRAD GN1 NIGHTVISION,1
"DESC=SIMS KIT, M4 UPPER",119
DESC=SIMULATION KIT 5.56,25
DESC=SIMULATOR TRAINER,1
DESC=SIMUNITION KIT M-4,3
DESC=SLIDE REAR SIGHT,12
DESC=SMART UPS RT6000,1
DESC=SNAP TRACK,32
"DESC=SPRING ASSEMBLY, GLOCK",1
DESC=SPRING ASSY RECOIL,3
"DESC=SPRING ASSY,RECOIL",5
"DESC=SPRING, TRIGGER",1
"DESC=SPRING,TRIGGER,GLOCK",1
DESC=STOCK RIFLE,13
DESC=STORAGE MAGAZINE ADVANCED,2
DESC=STROBE LIGHT FIXTURE,1
"DESC=SUICIDE BOMBER VEST, TRAINING",1
DESC=SUREFIRE MODS06 UNIV SWITCH,103
DESC=SURVEILLANCE SYSTEM,12
DESC=SYSTEM NIGHTSIGHT,1
DESC=TACTICAL ARMOR,186
DESC=TACTICAL RAIL SET  RIFLE,71
DESC=TACTICAL RECEIVER RECORDER,2
DESC=TACTICAL VEST,10
DESC=TACTICAL VIDEO SYSTEM,8
DESC=TASER,166
DESC=TASER X26,4
DESC=TELEPHONE,1
"DESC=TELEPHONE, SATELITE INMARSAT",1
DESC=TELESCOPE CAM U ORIFL,3
DESC=TELESCOPE F RIFLE 10X42,4
DESC=TERMAL IMAGER,2
DESC=THERMAL CAMERA,3
DESC=THERMAL CAMERA LYNX,2
DESC=THERMAL EYE CAMERA,2
DESC=THERMAL GOGGLE SYSTEM,35
DESC=THERMAL IMAGER,7
DESC=THERMAL IMAGER MAGNAVOX MAG60,2
DESC=THERMAL IMAGING,1
DESC=THERMAL IMAGING SYSTEM,1
DESC=THERMAL INTERGRATED,1
DESC=THERMAL WEAPON SIGHT,6
DESC=THRANE   THRANE M4 SATPHONE,4
DESC=THUMBDRIVE  USB BIOMETRIC,25
DESC=TOOL KIT GENERAL MECHANIC S,4
DESC=TOOL KIT TK101,1
"DESC=TOTE, 24 GAL RUBBERMAID",15
DESC=TOWER TRAILER MOUNTED,1
DESC=TRACTOR  SEMI  ARMORED,1
DESC=TRACTOR WHEELED IND,1
DESC=TRAFFIC  RADAR HAND HELD,1
DESC=TRAILER  VAN MAINTENANCE,1
DESC=TRAILER  VAN MAINTENCE,1
DESC=TRAILER SILVER EAGLE,1
DESC=TRAINER SPATIAL DISORIENTATIO,1
DESC=TRAINING,1
DESC=TRAINING SYSTEM,1
DESC=TRANSCEIVER,9
DESC=TRANSCEIVER 16 WATT,2
DESC=TRANSCEIVER AR 8200,2
DESC=TRANSCEIVER RT-138F,5
DESC=TRANSCEIVER RT-406F,3
DESC=TRANSCEIVER RT30,4
DESC=TRANSMISSION CART,1
DESC=TRANSMITTER  BROADCAST LPB  A,1
"DESC=TRANSPORT SYSTEM, EOD TRANSPORT TRAILER",1
DESC=TRIGGER ASSY,2
"DESC=TRIGGER GUARD, ASSY",1
DESC=TRIGGER PLATE ASSY,1
DESC=TRIGGER PLATE ASSY 870 REM,7
DESC=TRIPOD KIT,1
DESC=TROUSERS  COLD WEATHER XLG,6
DESC=TROUSERS COLD WEATHER LRG NMX,10
DESC=TROUSERS COLD WEATHER XLG,20
DESC=TRSRS GORTEX L WT MED,3
DESC=TRSRS GORTEX LWT L,8
DESC=TRSRS GORTEX LWT XL,5
DESC=TRUCK  TRACTOR,1
DESC=TSE  TACTICAL RECON KIT,4
DESC=TUNER ANTENNA AUTOMATIC,3
DESC=TWO WAY RADIO,10
DESC=TWO WAY RADIO SET,2
DESC=UDVR VIDEO RECORDER,1
"DESC=UPS,APC SMART RT TOWER ISOLAT",10
DESC=VAPOR TRACER,3
DESC=VECTRONIX 202AG,9
DESC=VEHICLE GUN BRAKET,2
DESC=VERTEX MOBILE RADIO COMM EQUI,4
DESC=VEST BODY ARMOR,6
DESC=VEST TRAINING SYSTEM,4
DESC=VEST W 2 CARRIER MENS 2XLR,2
DESC=VEST W 2 CARRIER MENS 3XLL,2
DESC=VEST W 2 CARRIER MENS 3XLXL,2
DESC=VEST W 2 CARRIER MENS 4XLXL,2
DESC=VEST W 2 CARRIER MENS SL,1
DESC=VEST W 2 CARRIER MENS SXR,4
DESC=VEST W 2 CARRIER MENS XLXL,1
DESC=VEST W 2 CARRIER MENS XSS,4
DESC=VEST W 2 CARRIER WOMENS L2XL,5
DESC=VEST W 2 CARRIER WOMENS LL,5
DESC=VEST W 2 CARRIER WOMENS LXL,4
DESC=VEST W 2 CARRIER WOMENS MXL,6
DESC=VEST W 2 CARRIER WOMENS S2XL,2
DESC=VEST W 2 CARRIER WOMENS SL,2
DESC=VEST W 2 CARRIER WOMENS XL2XL,4
DESC=VEST W 2 CARRIER WOMENS XS2XL,2
DESC=VEST W 2 CARRIER WOMENS XSS,2
DESC=VEST W 2 CARRIER WOMENS XSXL,2
DESC=VEST W CARRIER WOMEN SXL,2
DESC=VHF ANTENNA,13
DESC=VIDEO DOOR SYSTEM,3
DESC=VIDEOTRANSMITTER SURVELLIANCE,1
DESC=VIEWER  INFRARED,1
