Item Name,Quantity
"AMPLIFIER,SYNCHRO SIGNAL",1
"AMPLIFIER,UHF",1
"AMPLIFIER,VIDEO",1
AMPLIFIERS,15
AN PRC 150 RADIO,7
"ANALYZER KIT,GAS CHIP MEASUREMENT SYSTEM",15
"ANALYZER SET,ENGINE",19
"ANALYZER-CHARGER,BATTERY",18
"ANALYZER, MEDICAL",3
"ANALYZER,BLOOD GAS",3
"ANALYZER,BLOOD GLUCOSE",4
"ANALYZER,BLOOD WITH CASE",1
"ANALYZER,CHEMICAL",3
"ANALYZER,CONTROL BO",1
"ANALYZER,DEFIBRILLATOR-ELECTROCARDIOGRAPH",10
"ANALYZER,DIGITAL DATA,ELECTRONIC TEST",1
"ANALYZER,ENGINE",2
"ANALYZER,HAZARDOUS MATERIAL IDENTIFICATION",14
"ANALYZER,LOCAL-WIDE AREA NETWORK",1
"ANALYZER,NETWORK",3
"ANALYZER,NIGHT VISION VIEWER",10
"ANALYZER,NON-INVASIVE BLOOD PRESSURE",1
"ANALYZER,OXYGEN",1
"ANALYZER,SPECTRUM",21
ANCHOR,1
ANCHOR ASSEMBLY,1
"ANCHOR SCREW,DRILL",3
"ANCHOR,CHAIN",40
"ANCHOR,GUY",8
"ANCHOR,MARINE,FLUKED",11
ANEMOMETER,1
"ANGLE,STRUCTURAL",607
ANNUNCIATOR PANEL,4
ANTENNA,427
ANTENNA ASSEMBLY,4
ANTENNA COUPLER GROUP,6
ANTENNA ELEMENT,21
ANTENNA ELEVATOR GROUP,11
ANTENNA KIT,3
ANTENNA OFFSET KIT,4
ANTENNA SUBASSEMBLY,23
"ANTENNA,BROADBAND",5
"ANTENNA,DIRECTION F",2
"ANTENNA,POLE,UHF-VHF",3
"ANTENNAS, WAVE GUIDES, RELATED EQUIP",2
ANTI-PERSONNEL MINE FOOT PROTECTION,10
"ANTI-REFLECTION DEVICE,OPTICAL INSTRUMENT",205
ANTI-REFLECTIVE DEVICE,7
ANTI-TERRORISM FORCE PROTECTION CHECKPOINT SET,2
ANTIFREEZE RECYCLER KIT,3
ANVIL,1
APC SMART-UPS SPEC,11
"APERTURE,SIGHT",70
"APPLICATOR,DISPOSABLE",19
"APRON,CONSTRUCTION WORKER'S",100
"APRON,FOOD HANDLER'S",54
ARCH BOARD FILE,22
"ARM ASSEMBLY,CYCLIC",2
"ARM ASSEMBLY,CYLINDER SUPPORT",1
"ARM,AMMUNITION RACK",4
"ARM,BODY,FC,RV,M,WD",5
"ARM,CABIN DOOR",1
"ARM,CONTROL,VEHICULAR SUSPENSION",1
"ARM,LIFT,BUCKET",1
"ARM,STEERING GEAR",9
ARMAMENT TRAINING DEVICES,99
"ARMBAND,CHAMELEON,EXTRA LENGTH",18
ARMOIRE,47
"ARMOR KIT,GUN SHIELD",1
ARMOR PLATE,151
"ARMOR PLATE, SHEET, STRIP, FOIL, LEAF",17
"ARMOR SET,SUPPLEMENTAL,LVS",6
